ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-09-2014_19-41-27,Script6,0.25,45,2500,87.6667,70.8995,83.6502
03-09-2014_18-36-52,Script6,0.15,65,1300,87.0656,72.7273,83.6018
03-09-2014_19-18-00,Script6,0.25,5,500,86.863,73.913,83.5871
03-09-2014_18-26-02,Script6,0.15,45,500,88.5563,68.9119,83.5742
03-09-2014_18-27-05,Script6,0.15,45,900,88.5563,68.9119,83.5742
03-09-2014_19-17-05,Script6,0.25,5,100,85.7143,76.8116,83.5263
03-09-2014_19-52-05,Script6,0.25,65,3700,85.2941,77.907,83.5196
03-09-2014_17-33-49,Script6,0.05,85,3700,86.514,74.1176,83.4774
03-09-2014_18-04-52,Script6,0.15,5,100,86.4465,74.8344,83.4746
03-09-2014_18-27-56,Script6,0.15,45,1300,86.911,73.3333,83.4635
03-09-2014_19-39-46,Script6,0.25,45,1700,87.1022,71.8085,83.4395
03-09-2014_17-12-11,Script6,0.05,25,3300,86.6585,74.1259,83.4089
03-09-2014_17-40-02,Script6,0.05,105,3700,86.7779,72.7626,83.3012
03-09-2014_17-43-07,Script6,0.05,125,2500,86.7779,72.7626,83.3012
03-09-2014_17-44-01,Script6,0.05,125,2900,86.7779,72.7626,83.3012
03-09-2014_19-32-52,Script6,0.25,25,2500,87.7809,69.2982,83.2979
03-09-2014_19-25-16,Script6,0.25,5,3300,85.0286,78.0069,83.2762
03-09-2014_18-18-06,Script6,0.15,25,1300,86.3235,73.8739,83.2594
03-09-2014_18-32-52,Script6,0.15,45,3300,87.9643,69.0583,83.2589
03-09-2014_19-34-38,Script6,0.25,25,3300,86.0111,73.8532,83.1915
03-09-2014_18-05-49,Script6,0.15,5,500,86.1505,74.1722,83.1829
03-09-2014_18-03-59,Script6,0.05,185,3700,86.9509,71.2,83.1055
03-09-2014_17-46-01,Script6,0.05,125,3700,87.3711,70.155,83.0754
03-09-2014_17-58-00,Script6,0.05,165,3700,86.6234,72.3735,83.0574
03-09-2014_19-38-42,Script6,0.25,45,1300,86.7012,72.6829,83.0357
03-09-2014_19-37-00,Script6,0.25,45,500,85.8553,73.4043,82.9146
03-09-2014_18-06-46,Script6,0.15,5,900,87.0472,70.3583,82.8407
03-09-2014_18-01-05,Script6,0.05,185,2500,85.6771,74.2188,82.8125
03-09-2014_18-12-12,Script6,0.15,5,2900,86.2405,72.3684,82.8036
03-09-2014_18-23-24,Script6,0.15,25,3300,85.7718,74.0157,82.7828
03-09-2014_17-56-13,Script6,0.05,165,2900,86.6152,70.8,82.7653
03-09-2014_18-01-58,Script6,0.05,185,2900,86.7704,70.3557,82.7148
03-09-2014_17-25-19,Script6,0.05,65,2900,85.9825,72.4806,82.6868
03-09-2014_17-27-45,Script6,0.05,65,3700,85.254,74.4,82.6868
03-09-2014_17-55-07,Script6,0.05,165,2500,86.0645,72.2222,82.668
03-09-2014_18-08-53,Script6,0.15,5,1700,85.9046,73.0263,82.6556
03-09-2014_18-10-04,Script6,0.15,5,2100,85.9046,73.0263,82.6556
03-09-2014_18-15-55,Script6,0.15,25,500,84.7059,76.1468,82.6281
03-09-2014_17-32-55,Script6,0.05,85,3300,86.0583,71.8254,82.6129
03-09-2014_17-11-16,Script6,0.05,25,2900,86.983,69.7509,82.5929
03-09-2014_18-31-07,Script6,0.15,45,2500,85.2941,74.0741,82.5893
03-09-2014_18-33-44,Script6,0.15,45,3700,85.7988,72.7273,82.5893
03-09-2014_17-36-55,Script6,0.05,105,2500,86.2113,71.5385,82.529
03-09-2014_17-38-01,Script6,0.05,105,2900,86.2113,71.5385,82.529
03-09-2014_17-20-51,Script6,0.05,45,3700,85.8025,72.6937,82.5162
03-09-2014_19-23-10,Script6,0.25,5,2500,85.181,74.1135,82.5043
03-09-2014_19-19-11,Script6,0.25,5,900,85.5866,72.8223,82.4873
03-09-2014_18-21-10,Script6,0.15,25,2500,85.0136,75.4717,82.4825
03-09-2014_18-13-09,Script6,0.15,5,3300,85.5905,73.0263,82.4776
03-09-2014_17-04-09,Script6,0.05,5,3300,85.5609,73.1183,82.453
03-09-2014_18-03-05,Script6,0.05,185,3300,84.949,74.1667,82.4219
03-09-2014_17-30-53,Script6,0.05,85,2500,85.375,72.6141,82.4207
03-09-2014_17-26-33,Script6,0.05,65,3300,86.6162,69.8113,82.403
03-09-2014_18-14-06,Script6,0.15,5,3700,86.3489,70.3947,82.3961
03-09-2014_18-28-59,Script6,0.15,45,1700,86.6667,69.5652,82.28
03-09-2014_18-17-00,Script6,0.15,25,900,85.5882,72.3684,82.2687
03-09-2014_19-22-13,Script6,0.25,5,2100,84.6065,75.4967,82.247
03-09-2014_17-17-27,Script6,0.05,45,2500,85.2761,72.9323,82.2387
03-09-2014_18-07-43,Script6,0.15,5,1300,85.0897,74.1325,82.2167
03-09-2014_17-03-01,Script6,0.05,5,2900,84.7619,74.3682,82.1844
03-09-2014_18-30-03,Script6,0.15,45,2100,85.0242,73.2323,82.1734
03-09-2014_17-10-07,Script6,0.05,25,2500,86.5291,69.1756,82.1396
03-09-2014_17-57-07,Script6,0.05,165,3300,84.6054,74.4094,82.0837
03-09-2014_19-24-06,Script6,0.25,5,2900,85.6,71.4777,82.0755
03-09-2014_17-38-55,Script6,0.05,105,3300,85.5657,71.9101,82.0463
03-09-2014_17-50-02,Script6,0.05,145,2900,85.4756,71.0317,81.9417
03-09-2014_17-51-08,Script6,0.05,145,3300,84.4673,74.1036,81.9417
03-09-2014_19-20-08,Script6,0.25,5,1300,85.3379,71.6724,81.9039
03-09-2014_17-52-15,Script6,0.05,145,3700,85,72,81.8447
03-09-2014_17-31-47,Script6,0.05,85,2900,85.5696,70.1195,81.8444
03-09-2014_17-24-07,Script6,0.05,65,2500,84.3016,73.7903,81.8354
03-09-2014_18-31-59,Script6,0.15,45,2900,85.229,71.2329,81.808
03-09-2014_18-22-17,Script6,0.15,25,2900,85.733,68.9362,81.7818
03-09-2014_17-05-18,Script6,0.05,5,3700,85.782,69.2308,81.7368
03-09-2014_18-24-31,Script6,0.15,25,3700,84.9802,71.25,81.6817
03-09-2014_17-18-35,Script6,0.05,45,2900,86.409,67.7419,81.5911
03-09-2014_18-11-01,Script6,0.15,5,2500,85.2406,69.863,81.5811
03-09-2014_18-18-58,Script6,0.15,25,1700,84.7482,71.6814,81.5418
03-09-2014_19-21-17,Script6,0.25,5,1700,87.3432,63.5088,81.4974
03-09-2014_17-01-52,Script6,0.05,5,2500,85.2121,70.8904,81.4682
03-09-2014_17-44-55,Script6,0.05,125,3300,85.8991,68.1992,81.4313
03-09-2014_17-48-55,Script6,0.05,145,2500,85.5246,70.0361,81.3592
03-09-2014_17-13-06,Script6,0.05,25,3700,83.6186,74.7368,81.3237
03-09-2014_18-20-04,Script6,0.15,25,2100,84.1727,72.3404,81.1828
03-09-2014_17-19-43,Script6,0.05,45,3300,83.891,72.6277,81.0361
