04-16-2014_17-35-21,Script1,0.5,100,500,96.477,90.8333,95.092
04-16-2014_17-35-58,Script1,0.5,100,500,96.3061,91.5254,95.171
04-16-2014_17-36-35,Script1,0.5,100,500,95.0139,91.3462,94.1935
04-16-2014_17-37-42,Script1,0.5,100,500,94.7059,88.7931,93.2018
04-16-2014_17-38-49,Script1,0.5,100,500,93.8053,91.8919,93.3333
04-16-2014_17-39-56,Script1,0.5,100,500,94.9853,85.2459,92.4078
04-16-2014_17-41-02,Script1,0.5,100,500,96,91.8519,94.8454
04-16-2014_17-42-09,Script1,0.5,100,500,94.517,87.7863,92.8016
04-16-2014_17-43-19,Script1,0.5,100,500,95.8005,84.2105,92.8016
04-16-2014_17-44-27,Script1,0.5,100,500,96.2865,89.4737,94.5098
04-16-2014_17-45-35,Script1,0.5,100,500,94.3299,92.8,93.9571
04-16-2014_17-46-43,Script1,0.5,100,1000,95.8025,87.7419,93.5714
04-16-2014_17-47-56,Script1,0.5,100,1000,93.9759,91.8919,93.4281
04-16-2014_17-49-10,Script1,0.5,100,1000,95.3545,86.5248,93.0909
04-16-2014_17-50-22,Script1,0.5,100,1000,94.4175,87.8788,92.8309
04-16-2014_17-51-34,Script1,0.5,100,1000,95.8838,86.8852,93.8318
04-16-2014_17-52-46,Script1,0.5,100,1000,94.8905,85.1852,92.4908
04-16-2014_17-53-58,Script1,0.5,100,1000,95.2809,88.7218,93.7716
04-16-2014_17-55-11,Script1,0.5,100,1000,94.0397,86.2745,92.0792
04-16-2014_17-56-24,Script1,0.5,100,1000,94.2792,88.2353,92.7119
04-16-2014_17-57-37,Script1,0.5,100,1000,92.8406,89.4737,91.9658
04-16-2014_17-58-48,Script1,0.5,100,1000,94.4573,87.7551,92.7586
04-16-2014_17-59-59,Script1,0.5,100,1500,93.9914,88.2353,92.5687
04-16-2014_18-01-19,Script1,0.5,100,1500,93.617,87.5,92.1222
04-16-2014_18-02-38,Script1,0.5,100,1500,94.8387,90.2098,93.75
04-16-2014_18-03-54,Script1,0.5,100,1500,94.2922,89.7436,93.0976
04-16-2014_18-05-43,Script1,0.5,100,1500,92.3596,87.8378,91.231
04-16-2014_18-06-57,Script1,0.5,100,1500,93.4183,87.9433,92.1569
04-16-2014_18-08-12,Script1,0.5,100,1500,92.5049,84.3284,90.7956
