ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-10-2014_01-33-10,Script7,0.05,165,500,98.4375,95.4955,97.6798
03-10-2014_03-54-56,Script7,0.35,165,500,98.4615,95.2381,97.6744
03-10-2014_04-03-46,Script7,0.45,45,500,97.8892,96.9925,97.6563
03-10-2014_01-33-32,Script7,0.05,165,1300,97.4843,98.1308,97.6471
03-10-2014_01-37-53,Script7,0.05,185,1300,97.7564,97.2727,97.6303
03-10-2014_04-04-28,Script7,0.45,45,2100,98.6667,94.1176,97.5709
03-10-2014_03-55-46,Script7,0.35,165,2500,97.7049,97.1154,97.555
03-10-2014_04-06-55,Script7,0.45,65,3700,97.8723,96.2963,97.4828
03-10-2014_01-37-43,Script7,0.05,185,900,98.4375,94.6429,97.4537
03-10-2014_02-10-35,Script7,0.15,85,100,98.1132,95.5752,97.4478
03-10-2014_04-05-11,Script7,0.45,45,3700,98.1081,95.1613,97.3684
03-10-2014_01-23-49,Script7,0.05,125,900,97.8788,95.7265,97.3154
03-10-2014_03-56-15,Script7,0.35,165,3700,98.0328,95.1923,97.3105
03-10-2014_04-02-41,Script7,0.45,25,2100,97.5248,96.1832,97.1963
03-10-2014_01-19-04,Script7,0.05,105,900,96.7836,98.2609,97.1554
03-10-2014_03-52-24,Script7,0.35,125,2500,98.2301,93.913,97.1366
03-10-2014_03-52-34,Script7,0.35,125,2900,97.6119,95.7983,97.1366
03-10-2014_01-28-23,Script7,0.05,145,500,97.8328,94.6903,97.0183
03-10-2014_01-38-04,Script7,0.05,185,1700,97.2892,96.1538,97.0183
03-10-2014_03-52-45,Script7,0.35,125,3300,97.971,93.578,96.9163
03-10-2014_01-03-17,Script7,0.05,45,500,97.6378,94.7368,96.8872
03-10-2014_03-50-16,Script7,0.35,105,2100,97.3134,95.6835,96.8354
03-10-2014_04-02-52,Script7,0.45,25,2500,97.0297,96.1832,96.8224
03-10-2014_03-43-37,Script7,0.35,65,100,97.6879,94.2149,96.788
03-10-2014_01-28-45,Script7,0.05,145,1300,96.9325,96.1165,96.7366
03-10-2014_03-49-33,Script7,0.35,105,900,97.2452,94.9153,96.6736
03-10-2014_04-02-20,Script7,0.45,25,1300,97.136,94.8276,96.6355
03-10-2014_04-03-24,Script7,0.45,25,3700,96.5517,96.8992,96.6355
03-10-2014_03-55-06,Script7,0.35,165,900,97.8261,92.5532,96.6346
03-10-2014_01-03-06,Script7,0.05,45,100,96.9529,95.5752,96.6245
03-10-2014_03-50-48,Script7,0.35,105,2900,97.2067,94.8276,96.6245
03-10-2014_03-47-46,Script7,0.35,85,1700,96.8254,95.7627,96.5726
03-10-2014_04-01-59,Script7,0.45,25,500,97.343,94.2446,96.5642
03-10-2014_01-08-53,Script7,0.05,65,500,96.4187,96.7742,96.5092
03-10-2014_01-09-15,Script7,0.05,65,900,96.4187,96.7742,96.5092
03-10-2014_01-09-26,Script7,0.05,65,1300,96.4187,96.7742,96.5092
03-10-2014_04-17-23,Script7,0.55,5,900,97.9094,91.4634,96.477
03-10-2014_04-17-43,Script7,0.55,5,1300,97.9094,91.4634,96.477
03-10-2014_04-17-53,Script7,0.55,5,1700,97.9094,91.4634,96.477
03-10-2014_04-18-03,Script7,0.55,5,2100,97.9094,91.4634,96.477
03-10-2014_04-03-03,Script7,0.45,25,2900,96.5174,96.2406,96.4486
03-10-2014_01-19-14,Script7,0.05,105,1300,96.6867,95.6522,96.4206
03-10-2014_03-49-54,Script7,0.35,105,1700,97.2376,93.75,96.4135
03-10-2014_03-53-57,Script7,0.35,145,2100,97.3597,93.913,96.4115
03-10-2014_01-23-38,Script7,0.05,125,500,98.5507,89,96.4045
03-10-2014_01-28-34,Script7,0.05,145,900,97.6401,92,96.3554
03-10-2014_01-33-43,Script7,0.05,165,1700,96.5625,95.7983,96.3554
03-10-2014_01-24-00,Script7,0.05,125,1300,96.997,94.2308,96.3387
03-10-2014_01-18-52,Script7,0.05,105,500,96.2099,96.4602,96.2719
03-10-2014_03-52-13,Script7,0.35,125,2100,96.5116,95.4545,96.2555
03-10-2014_03-52-56,Script7,0.35,125,3700,97.9042,91.6667,96.2555
03-10-2014_03-51-30,Script7,0.35,125,500,97.093,93.8462,96.2025
03-10-2014_01-38-15,Script7,0.05,185,2100,96.4286,95.614,96.1929
03-10-2014_03-06-18,Script7,0.25,85,100,98.2036,89.4231,96.1187
03-10-2014_01-14-26,Script7,0.05,85,900,96.6387,94.3396,96.1123
03-10-2014_03-55-17,Script7,0.35,165,1300,97.377,92.3077,96.088
03-10-2014_03-26-43,Script7,0.25,185,1300,97.5806,90.9091,96.0581
03-10-2014_04-17-03,Script7,0.55,5,100,96.7105,94.0594,96.0494
03-10-2014_03-51-52,Script7,0.35,125,1300,97.6744,90.9091,96.0352
03-10-2014_03-52-02,Script7,0.35,125,1700,96.8944,93.9394,96.0352
03-10-2014_03-49-01,Script7,0.35,85,3700,96.1749,95.3846,95.9677
03-10-2014_04-02-09,Script7,0.45,25,900,97.75,90.8451,95.941
03-10-2014_03-26-22,Script7,0.25,185,500,95.6989,96.5517,95.9016
03-10-2014_04-03-14,Script7,0.45,25,3300,96.798,93.0233,95.8879
03-10-2014_04-01-48,Script7,0.45,25,100,96.5686,93.6508,95.8801
03-10-2014_03-23-38,Script7,0.25,165,1300,97.3684,90.9836,95.8167
03-10-2014_01-19-26,Script7,0.05,105,1700,97.1591,91,95.7965
03-10-2014_01-24-33,Script7,0.05,125,2100,96.4516,93.617,95.7921
03-10-2014_03-51-09,Script7,0.35,105,3700,96.6759,92.9204,95.7806
03-10-2014_03-47-35,Script7,0.35,85,1300,96.3989,94.0741,95.7661
03-10-2014_03-48-39,Script7,0.35,85,3300,96.5426,93.3333,95.7661
03-10-2014_03-49-22,Script7,0.35,105,500,96.5426,93.3333,95.7661
03-10-2014_03-49-43,Script7,0.35,105,1300,96.5426,93.3333,95.7661
03-10-2014_04-02-31,Script7,0.45,25,1700,96.7662,92.4812,95.7009
03-10-2014_03-23-06,Script7,0.25,165,500,96.5147,93.3333,95.6693
03-10-2014_03-23-27,Script7,0.25,165,900,96.5147,93.3333,95.6693
03-10-2014_03-51-41,Script7,0.35,125,900,95.8457,95.1613,95.6616
03-10-2014_04-19-03,Script7,0.55,5,3700,96.4286,93.1818,95.6522
03-10-2014_00-57-03,Script7,0.05,25,100,96.837,91.8519,95.6044
03-10-2014_01-14-37,Script7,0.05,85,1300,95.6395,95.4128,95.585
03-10-2014_03-48-07,Script7,0.35,85,2500,97.5207,90.2256,95.5645
03-10-2014_03-47-13,Script7,0.35,85,500,96.134,93.7008,95.534
03-10-2014_01-28-56,Script7,0.05,145,1700,96.3303,93.0435,95.4751
03-10-2014_01-33-54,Script7,0.05,165,2100,96.6667,91.7526,95.466
03-10-2014_01-14-15,Script7,0.05,85,500,95.4416,95.5357,95.4644
03-10-2014_03-26-33,Script7,0.25,185,900,95.9569,93.6,95.3629
03-10-2014_03-47-56,Script7,0.35,85,2100,96.1433,93.2331,95.3629
03-10-2014_01-29-07,Script7,0.05,145,2100,96.4169,91.3978,95.25
03-10-2014_01-03-51,Script7,0.05,45,1300,95.8333,93.3333,95.2381
03-10-2014_04-17-13,Script7,0.55,5,500,97.5265,88.2979,95.2255
03-10-2014_03-39-45,Script7,0.35,45,100,96.4912,91.6667,95.2118
03-10-2014_01-14-48,Script7,0.05,85,1700,96.0674,92.233,95.207
03-10-2014_01-14-59,Script7,0.05,85,2100,95.7516,93.6364,95.1923
03-10-2014_03-50-58,Script7,0.35,105,3300,96.5616,91.2,95.1477
03-10-2014_01-03-28,Script7,0.05,45,900,97.1429,89.0625,95.1267
03-10-2014_01-19-47,Script7,0.05,105,2100,95.0658,95.2381,95.11
03-10-2014_04-18-33,Script7,0.55,5,2900,96.337,91.5789,95.1087
03-10-2014_04-18-53,Script7,0.55,5,3300,95.6989,93.2584,95.1087
03-10-2014_03-47-24,Script7,0.35,85,900,96.0526,91.8699,95.0298
03-10-2014_03-50-26,Script7,0.35,105,2500,96.3788,90.4348,94.9367
03-10-2014_03-27-49,Script7,0.25,185,2500,93.8338,98.3051,94.9084
03-10-2014_01-24-11,Script7,0.05,125,1700,95.9184,91.3462,94.8546
03-10-2014_04-18-13,Script7,0.55,5,2500,97.0803,88.2979,94.837
03-10-2014_01-09-37,Script7,0.05,65,1700,94.7674,94.9275,94.8133
03-10-2014_03-48-18,Script7,0.35,85,2900,97.2752,87.5969,94.7581
03-10-2014_01-04-02,Script7,0.05,45,1700,96.6146,88.8,94.6955
03-10-2014_02-34-00,Script7,0.15,185,900,96.0674,90.4348,94.6921
03-10-2014_03-27-05,Script7,0.25,185,1700,95.1872,92.0354,94.4559
03-10-2014_03-45-14,Script7,0.35,65,2100,95.9811,88.9764,94.3636
03-10-2014_03-24-00,Script7,0.25,165,1700,94.8718,92.3077,94.2801
03-10-2014_03-43-47,Script7,0.35,65,500,95.6522,90.3226,94.2004
03-10-2014_00-57-14,Script7,0.05,25,500,94.4056,93.4211,94.148
03-10-2014_02-33-39,Script7,0.15,185,500,95.2802,90.9091,94.1304
03-10-2014_02-29-35,Script7,0.15,165,500,94.3662,93.3884,94.1176
03-10-2014_03-27-27,Script7,0.25,185,2100,95.6522,89.4309,94.0937
03-10-2014_03-28-54,Script7,0.25,185,3700,94.5055,92.9134,94.0937
03-10-2014_01-09-59,Script7,0.05,65,2100,95.2381,90.3846,94.0909
03-10-2014_03-44-09,Script7,0.35,65,900,94.7494,92.029,94.0754
03-10-2014_02-34-21,Script7,0.15,185,1300,94.6176,92.2414,94.0299
03-10-2014_03-44-31,Script7,0.35,65,1300,95.0704,90.3226,94
03-10-2014_03-46-20,Script7,0.35,65,3300,94.2584,93.1818,94
03-10-2014_03-24-22,Script7,0.25,165,2100,94.4737,92.3664,93.9335
03-10-2014_03-28-10,Script7,0.25,185,2900,95.3552,89.6,93.89
03-10-2014_04-00-42,Script7,0.45,5,2900,94.2913,92.1687,93.7685
03-10-2014_04-01-26,Script7,0.45,5,3700,94.9515,89.9371,93.7685
03-10-2014_03-25-06,Script7,0.25,165,2900,95.6522,87.5,93.7378
03-10-2014_03-19-58,Script7,0.25,145,900,94.2308,92.0635,93.7269
03-10-2014_03-28-32,Script7,0.25,185,3300,95.4286,89.3617,93.6864
03-10-2014_03-45-58,Script7,0.35,65,2900,95.4869,87.5969,93.6364
03-10-2014_03-46-41,Script7,0.35,65,3700,94.0191,92.4242,93.6364
03-10-2014_04-00-20,Script7,0.45,5,2500,95.2096,89.0173,93.6202
03-10-2014_02-30-18,Script7,0.15,165,1300,94.6176,90.9091,93.6082
03-10-2014_03-25-27,Script7,0.25,165,3300,95.2381,88.7218,93.5421
03-10-2014_03-58-30,Script7,0.45,5,500,94.5736,90.1163,93.4593
03-10-2014_00-57-37,Script7,0.05,25,900,94.2922,90.7801,93.437
03-10-2014_02-29-56,Script7,0.15,165,900,94.2623,90.9091,93.4292
03-10-2014_03-58-08,Script7,0.45,5,100,94.0594,91.4634,93.423
03-10-2014_01-04-24,Script7,0.05,45,2100,94.9296,88.5965,93.3902
03-10-2014_03-24-44,Script7,0.25,165,2500,94.6292,89.1667,93.3464
03-10-2014_00-58-00,Script7,0.05,25,1300,94.7242,89.5425,93.3333
03-10-2014_03-44-53,Script7,0.35,65,1700,93.8967,91.129,93.2727
03-10-2014_03-16-13,Script7,0.25,125,900,94.4186,89.8089,93.1857
03-10-2014_03-20-20,Script7,0.25,145,1300,92.8571,94.1176,93.1818
03-10-2014_03-59-14,Script7,0.45,5,1300,93.5294,92.0732,93.1751
03-10-2014_02-34-43,Script7,0.15,185,1700,93.0175,93.4959,93.1298
03-10-2014_03-21-04,Script7,0.25,145,2100,92.3833,95.3846,93.1099
03-10-2014_03-58-52,Script7,0.45,5,900,94.358,89.2216,93.0984
03-10-2014_03-00-46,Script7,0.25,65,100,94.25,89.5522,93.0712
03-10-2014_00-58-22,Script7,0.05,25,1700,93.662,91.2162,93.0314
03-10-2014_03-59-58,Script7,0.45,5,2100,94.8819,87.3494,93.0267
03-10-2014_03-17-57,Script7,0.25,125,2500,94.1043,89.3617,92.9553
03-10-2014_03-22-33,Script7,0.25,145,3700,94.5137,88.2353,92.9236
03-10-2014_03-19-37,Script7,0.25,145,500,93.8144,90.2098,92.8437
03-10-2014_02-30-40,Script7,0.15,165,1700,95.1456,85.1563,92.7778
03-10-2014_03-25-49,Script7,0.25,165,3700,92.487,93.6,92.7593
03-10-2014_03-22-11,Script7,0.25,145,3300,93.1298,91.6667,92.7374
03-10-2014_03-45-36,Script7,0.35,65,2500,92.9952,91.9118,92.7273
03-10-2014_03-16-36,Script7,0.25,125,1300,93.7209,89.5105,92.6702
03-10-2014_03-41-46,Script7,0.35,45,2100,93.2653,90.2256,92.6164
03-10-2014_02-31-02,Script7,0.15,165,2100,92.7861,92.053,92.5859
03-10-2014_03-59-36,Script7,0.45,5,1700,93.8735,88.6905,92.5816
03-10-2014_03-40-29,Script7,0.35,45,900,92.4242,92.8571,92.5397
03-10-2014_03-41-02,Script7,0.35,45,1300,92.4242,92.8571,92.5397
03-10-2014_03-41-24,Script7,0.35,45,1700,92.4242,92.8571,92.5397
03-10-2014_03-42-09,Script7,0.35,45,2500,92.4242,92.8571,92.5397
03-10-2014_03-42-31,Script7,0.35,45,2900,92.4242,92.8571,92.5397
03-10-2014_03-42-53,Script7,0.35,45,3300,92.4242,92.8571,92.5397
03-10-2014_03-43-15,Script7,0.35,45,3700,92.4242,92.8571,92.5397
03-10-2014_04-01-04,Script7,0.45,5,3300,92.4242,92.8571,92.5397
03-10-2014_02-21-32,Script7,0.15,125,1300,93.1442,90.4762,92.5319
03-10-2014_00-58-45,Script7,0.05,25,2100,93.2836,90.0763,92.4953
03-10-2014_02-20-48,Script7,0.15,125,500,94.3627,85.6061,92.2222
03-10-2014_03-35-15,Script7,0.35,25,100,93.29,89.2857,92.2222
03-10-2014_03-21-26,Script7,0.25,145,2500,93.494,87.7049,92.1788
03-10-2014_02-25-19,Script7,0.15,145,500,92.9348,89.9225,92.1529
03-10-2014_02-25-41,Script7,0.15,145,900,92.9134,89.7638,92.126
03-10-2014_03-21-49,Script7,0.25,145,2900,92.5558,90.2985,91.9926
03-10-2014_03-37-08,Script7,0.35,25,1700,92.0152,91.7582,91.9492
03-10-2014_02-35-05,Script7,0.15,185,2100,94.1919,85.1064,91.8063
03-10-2014_03-11-32,Script7,0.25,105,500,92.3581,90.0662,91.7898
03-10-2014_03-40-07,Script7,0.35,45,500,92.4686,89.6341,91.7445
03-10-2014_02-26-02,Script7,0.15,145,1300,92.5333,89.313,91.6996
03-10-2014_03-35-37,Script7,0.35,25,500,93.3573,85.7988,91.5978
03-10-2014_03-18-41,Script7,0.25,125,3300,93.318,86.4865,91.5808
03-10-2014_03-19-04,Script7,0.25,125,3700,92.8241,88,91.5808
03-10-2014_03-20-42,Script7,0.25,145,1700,92.3267,89.1473,91.5572
03-10-2014_03-13-57,Script7,0.25,105,2500,92.3913,88.961,91.5309
03-10-2014_03-39-23,Script7,0.35,25,3700,92.4953,88.5714,91.5254
03-10-2014_03-15-49,Script7,0.25,125,500,92.3077,89.1892,91.5078
03-10-2014_00-50-09,Script7,0.05,5,100,92.4731,88.2759,91.4754
03-10-2014_02-26-24,Script7,0.15,145,1700,93.5867,85,91.4439
03-10-2014_02-36-46,Script7,0.15,185,3700,93.2203,85.7143,91.4378
03-10-2014_02-16-05,Script7,0.15,105,500,93.4146,85.7143,91.3824
03-10-2014_02-21-54,Script7,0.15,125,1700,93.5841,84.7682,91.3765
03-10-2014_02-54-10,Script7,0.25,45,100,92.8118,86.8421,91.36
03-10-2014_02-26-46,Script7,0.15,145,2100,92.3767,87.5,91.2892
03-10-2014_02-27-19,Script7,0.15,145,2500,92.3767,87.5,91.2892
03-10-2014_02-04-37,Script7,0.15,65,100,92.4574,87.2,91.2313
03-10-2014_02-16-27,Script7,0.15,105,900,93.128,85.8108,91.2281
03-10-2014_02-16-49,Script7,0.15,105,1300,92.9224,85.3846,91.1972
03-10-2014_03-36-12,Script7,0.35,25,900,91.6512,89.7727,91.1888
03-10-2014_02-21-10,Script7,0.15,125,900,92.8218,86.3946,91.1071
03-10-2014_03-17-34,Script7,0.25,125,2100,91.7995,88.8112,91.0653
03-10-2014_03-18-19,Script7,0.25,125,2900,91.8981,88.6667,91.0653
03-10-2014_02-17-22,Script7,0.15,105,1700,93.2059,84.106,90.9968
03-10-2014_03-37-53,Script7,0.35,25,2500,92.1201,87.4286,90.9605
03-10-2014_03-38-27,Script7,0.35,25,2900,92.1201,87.4286,90.9605
03-10-2014_02-36-12,Script7,0.15,185,3300,92.6503,86.4706,90.9532
03-10-2014_02-31-24,Script7,0.15,165,2500,92.8879,85.3801,90.8661
03-10-2014_02-31-58,Script7,0.15,165,2900,92.8879,85.3801,90.8661
03-10-2014_03-17-00,Script7,0.25,125,1700,91.3953,89.1892,90.8304
03-10-2014_02-35-27,Script7,0.15,185,2500,91.6318,87.9433,90.7916
03-10-2014_03-11-54,Script7,0.25,105,900,92.9787,83.8926,90.7916
03-10-2014_03-09-51,Script7,0.25,85,2900,91.8033,87.0968,90.6687
03-10-2014_03-12-16,Script7,0.25,105,1300,92.4406,84.507,90.5785
03-10-2014_03-14-53,Script7,0.25,105,3300,91.5033,87.7419,90.5537
03-10-2014_03-36-34,Script7,0.35,25,1300,90.6542,90.1734,90.5367
03-10-2014_03-37-31,Script7,0.35,25,2100,91.4545,87.3418,90.5367
03-10-2014_03-01-42,Script7,0.25,65,900,91.9854,85.7143,90.4696
03-10-2014_00-50-33,Script7,0.05,5,500,92.1811,85.0649,90.4688
03-10-2014_02-35-50,Script7,0.15,185,2900,92.1397,85.7143,90.4685
03-10-2014_02-22-17,Script7,0.15,125,2100,92.6991,84.1463,90.4221
03-10-2014_03-13-23,Script7,0.25,105,2100,91.3607,87.4172,90.3909
03-10-2014_03-15-16,Script7,0.25,105,3700,91.7548,85.8156,90.3909
03-10-2014_00-52-28,Script7,0.05,5,2100,91.3043,87.4126,90.3814
03-10-2014_02-10-46,Script7,0.15,85,500,91.61,86.755,90.3716
03-10-2014_03-10-25,Script7,0.25,85,3300,91.9918,85.2564,90.3577
03-10-2014_03-07-03,Script7,0.25,85,900,92.3237,84.3373,90.2778
03-10-2014_00-50-57,Script7,0.05,5,900,91.82,85.1351,90.2669
03-10-2014_02-11-09,Script7,0.15,85,900,92.4779,83.6601,90.2479
03-10-2014_02-32-20,Script7,0.15,165,3300,92.1776,84.5679,90.2362
03-10-2014_02-32-54,Script7,0.15,165,3700,90.9853,87.9747,90.2362
03-10-2014_03-06-29,Script7,0.25,85,500,92.8717,80.9524,90.1254
03-10-2014_02-28-50,Script7,0.15,145,3700,90.7787,87.5,89.939
03-10-2014_02-17-45,Script7,0.15,105,2100,91.25,85.8065,89.9213
03-10-2014_03-14-19,Script7,0.25,105,2900,91.3502,85,89.9023
03-10-2014_03-12-50,Script7,0.25,105,1700,91.974,83.2215,89.8361
03-10-2014_00-51-54,Script7,0.05,5,1700,90.7787,86.6667,89.8119
03-10-2014_02-11-42,Script7,0.15,85,1300,91.4661,84.2466,89.7181
03-10-2014_03-38-49,Script7,0.35,25,3300,91.1368,85.7143,89.6893
03-10-2014_03-07-37,Script7,0.25,85,1300,90.8722,85.1064,89.5899
03-10-2014_00-51-20,Script7,0.05,5,1300,92.3246,82.1839,89.5238
03-10-2014_01-57-55,Script7,0.15,45,100,91.5433,83.3333,89.5072
03-10-2014_02-05-33,Script7,0.15,65,900,91.3127,83.9286,89.5044
03-10-2014_02-27-42,Script7,0.15,145,2900,91.4286,83.7349,89.4817
03-10-2014_02-28-16,Script7,0.15,145,3300,90.6883,85.8025,89.4817
03-10-2014_02-12-15,Script7,0.15,85,1700,91.3386,82.5503,89.3455
03-10-2014_03-08-44,Script7,0.25,85,2100,91.0387,83.5526,89.2691
03-10-2014_02-23-25,Script7,0.15,125,2900,89.6552,88.0682,89.255
03-10-2014_03-01-08,Script7,0.25,65,500,90.9091,84.1808,89.2458
03-10-2014_03-02-51,Script7,0.25,65,1700,91.0747,82.8221,89.1854
03-10-2014_02-18-53,Script7,0.15,105,2900,91.7883,80.4734,89.1213
03-10-2014_02-24-33,Script7,0.15,125,3700,91.4773,81.1765,88.9685
03-10-2014_02-18-19,Script7,0.15,105,2500,90.689,83.3333,88.8424
03-10-2014_02-22-50,Script7,0.15,125,2500,92.233,79.235,88.8252
03-10-2014_03-10-47,Script7,0.25,85,3700,91.8067,80.2395,88.8025
03-10-2014_02-06-41,Script7,0.15,65,1700,90.8411,83.1633,88.7825
03-10-2014_02-04-59,Script7,0.15,65,500,90.239,84.3023,88.724
03-10-2014_02-23-59,Script7,0.15,125,3300,91.3958,80.5714,88.6819
03-10-2014_02-12-49,Script7,0.15,85,2100,91.7836,79.5322,88.6567
03-10-2014_02-06-07,Script7,0.15,65,1300,91.3556,80.4598,88.5798
03-10-2014_02-07-16,Script7,0.15,65,2100,90.4332,83.0688,88.5599
03-10-2014_02-14-33,Script7,0.15,85,3300,90.3915,82.6316,88.4309
03-10-2014_03-05-43,Script7,0.25,65,3700,90.2752,82.4561,88.4078
03-10-2014_01-58-29,Script7,0.15,45,500,90.2848,81.0976,88.3049
03-10-2014_03-02-17,Script7,0.25,65,1300,90.5769,82.0106,88.2934
03-10-2014_03-03-26,Script7,0.25,65,2100,91.2409,78.5714,88.2682
03-10-2014_03-08-10,Script7,0.25,85,1700,91.5152,77.0833,88.2629
03-10-2014_03-09-17,Script7,0.25,85,2500,90.835,79.6053,88.1804
03-10-2014_02-20-02,Script7,0.15,105,3700,90.6367,80.8743,88.145
03-10-2014_03-29-51,Script7,0.35,5,500,89.7019,82.9876,88.049
03-10-2014_02-19-28,Script7,0.15,105,3300,91.028,79.1209,88.0056
03-10-2014_02-00-14,Script7,0.15,45,1700,89.0145,84.5745,87.9802
03-10-2014_01-59-04,Script7,0.15,45,900,89.6194,83.0769,87.969
03-10-2014_02-09-48,Script7,0.15,65,3700,89.9687,80.5405,87.8493
03-10-2014_03-05-09,Script7,0.25,65,3300,90.1852,80.6818,87.8492
03-10-2014_03-34-39,Script7,0.35,5,3700,88.6269,85.1852,87.7593
03-10-2014_03-32-51,Script7,0.35,5,2500,88.3152,85.5263,87.6556
03-10-2014_02-07-50,Script7,0.15,65,2500,88.9251,83.7321,87.6063
03-10-2014_03-29-16,Script7,0.35,5,100,90.4971,78.5714,87.5551
03-10-2014_03-04-34,Script7,0.25,65,2900,89.3382,81.3953,87.4302
03-10-2014_02-00-49,Script7,0.15,45,2100,88.871,82.9146,87.4237
03-10-2014_02-09-13,Script7,0.15,65,3300,89.4061,81,87.3633
03-10-2014_03-04-00,Script7,0.25,65,2500,88.8268,82.6816,87.2905
03-10-2014_03-33-27,Script7,0.35,5,2900,88.4562,83.6735,87.2407
03-10-2014_03-34-03,Script7,0.35,5,3300,89.3004,80.8511,87.2407
03-10-2014_02-15-08,Script7,0.15,85,3700,89.8396,79.5812,87.234
03-10-2014_01-47-49,Script7,0.15,5,2900,89.4794,80.3279,87.2046
03-10-2014_02-02-13,Script7,0.15,45,2900,89.6084,80.1724,87.1652
03-10-2014_02-13-58,Script7,0.15,85,2900,88.5563,82.6087,87.1011
03-10-2014_03-30-27,Script7,0.35,5,900,88.7838,81.3853,87.0237
03-10-2014_02-54-32,Script7,0.25,45,500,89.5,79.0816,86.9347
03-10-2014_03-31-04,Script7,0.35,5,1300,88.9986,81.1765,86.9295
03-10-2014_02-08-37,Script7,0.15,65,2900,88.5246,82.1596,86.8773
03-10-2014_02-13-24,Script7,0.15,85,2500,89.6057,78.866,86.8351
03-10-2014_02-01-25,Script7,0.15,45,2500,88.8244,79.7101,86.7188
03-10-2014_02-57-04,Script7,0.25,45,2100,88.3642,81.6327,86.692
03-10-2014_02-58-38,Script7,0.25,45,2900,88.5329,81.1224,86.692
03-10-2014_03-00-11,Script7,0.25,45,3700,89.2857,79.1045,86.692
03-10-2014_01-47-10,Script7,0.15,5,2500,88.609,80.8917,86.6341
03-10-2014_01-49-08,Script7,0.15,5,3700,88.9007,79.3103,86.6341
03-10-2014_02-55-42,Script7,0.25,45,1300,88.9456,79.5918,86.6071
03-10-2014_03-32-15,Script7,0.35,5,2100,88.7052,79.8319,86.5145
03-10-2014_02-55-07,Script7,0.25,45,900,87.4788,83.6538,86.4831
03-10-2014_01-59-39,Script7,0.15,45,1300,90.4924,73.1844,86.4583
03-10-2014_03-31-40,Script7,0.35,5,1700,88.292,80.6723,86.4108
03-10-2014_02-45-42,Script7,0.25,25,100,90.1153,75.4808,86.3804
03-10-2014_01-52-12,Script7,0.15,25,1300,88.774,79.1111,86.3636
