ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-10-2014_04-05-21,Script7,0.45,65,100,99.4012,99.0385,99.3151
03-10-2014_04-03-35,Script7,0.45,45,100,98.9276,98.3471,98.7854
03-10-2014_04-51-43,Script7,0.75,5,3700,99.3421,96.7033,98.7342
03-10-2014_04-05-53,Script7,0.45,65,1300,99.0964,97.1429,98.627
03-10-2014_04-06-34,Script7,0.45,65,2900,98.4756,99.0826,98.627
03-10-2014_03-53-27,Script7,0.35,145,900,98.4894,98.9362,98.5882
03-10-2014_04-34-37,Script7,0.65,5,2100,98.4733,98.8889,98.5795
03-10-2014_04-50-16,Script7,0.75,5,100,97.9167,100,98.4925
03-10-2014_04-50-34,Script7,0.75,5,900,97.9452,100,98.481
03-10-2014_04-50-53,Script7,0.75,5,1700,97.931,100,98.481
03-10-2014_04-51-13,Script7,0.75,5,2500,97.9933,100,98.481
03-10-2014_04-06-24,Script7,0.45,65,2500,98.8095,97.0297,98.3982
03-10-2014_04-04-07,Script7,0.45,45,1300,98.6842,97.3684,98.3806
03-10-2014_04-33-57,Script7,0.65,5,500,98.0843,98.9011,98.2955
03-10-2014_04-35-06,Script7,0.65,5,3300,98.2014,98.6486,98.2955
03-10-2014_04-05-32,Script7,0.45,65,500,98.5294,97.3913,98.2418
03-10-2014_04-51-03,Script7,0.75,5,2100,98.6348,97.0588,98.2278
03-10-2014_04-51-23,Script7,0.75,5,2900,99.0099,95.6522,98.2278
03-10-2014_04-51-33,Script7,0.75,5,3300,97.9866,98.9691,98.2278
03-10-2014_04-03-56,Script7,0.45,45,900,98.1912,98.2456,98.2036
03-10-2014_03-53-17,Script7,0.35,145,500,97.8852,99.0654,98.1735
03-10-2014_04-06-45,Script7,0.45,65,3300,98.4375,97.4359,98.1693
03-10-2014_01-33-21,Script7,0.05,165,900,97.8328,99.1071,98.1609
03-10-2014_04-33-48,Script7,0.65,5,100,98.2993,97.6744,98.1579
03-10-2014_03-53-47,Script7,0.35,145,1700,98.4568,96.8085,98.0861
03-10-2014_04-34-07,Script7,0.65,5,900,98.8462,95.6522,98.0114
03-10-2014_04-34-27,Script7,0.65,5,1700,98.1481,97.561,98.0114
03-10-2014_04-35-16,Script7,0.65,5,3700,98.8593,95.5056,98.0114
03-10-2014_04-04-39,Script7,0.45,45,2500,98.6772,95.6897,97.9757
03-10-2014_04-04-49,Script7,0.45,45,2900,98.9011,95.3846,97.9757
03-10-2014_04-05-42,Script7,0.45,65,900,98.4709,96.5812,97.973
03-10-2014_04-06-03,Script7,0.45,65,1700,98.7692,95.5357,97.9405
03-10-2014_04-06-13,Script7,0.45,65,2100,98.773,95.4955,97.9405
03-10-2014_04-04-18,Script7,0.45,45,1700,97.8437,97.561,97.7733
03-10-2014_04-05-00,Script7,0.45,45,3300,98.6264,95.3846,97.7733
03-10-2014_04-34-17,Script7,0.65,5,1300,98.5019,95.2941,97.7273
03-10-2014_04-34-56,Script7,0.65,5,2900,98.1481,96.3415,97.7273
